,store,building,date,store_code,amount,n_sales,n_customer,sales_per_customer
114,bayflow,lalaport_tokyo_bay,2021-10-08,2469.0,412370,94,58,7109.827586207
115,lowrys_farm,lalaport_tokyo_bay,2021-10-08,755.0,339320,89,61,5562.62295082
116,lepsim,lalaport_tokyo_bay,2021-10-08,1844.0,190920,51,33,5785.454545455
117,hare,lalaport_tokyo_bay,2021-10-08,3131.0,184400,24,14,13171.428571429
118,jeanasis,lalaport_tokyo_bay,2021-10-08,803.0,256005,44,29,8827.75862069
119,heather,lalaport_tokyo_bay,2021-10-08,1367.0,80300,16,14,5735.714285714
120,repipi_armario,lalaport_tokyo_bay,2021-10-09,1497.0,696159,336,113,6160.699115044
121,global_work,lalaport_tokyo_bay,2021-10-09,728.0,1810699,541,298,6076.17114094
122,lakole,lalaport_tokyo_bay,2021-10-09,1875.0,960080,699,318,3019.119496855
123,niko_and,lalaport_tokyo_bay,2021-10-09,2255.0,2043283,623,349,5854.679083095
124,.st,lalaport_tokyo_bay,2021-10-09,9092.0,590030,109,74,7973.378378378
125,elura,lalaport_tokyo_bay,2021-10-09,8708.0,110398,20,11,10036.181818182
126,bayflow,lalaport_tokyo_bay,2021-10-09,2469.0,1008640,253,161,6264.844720497
127,studio_clip,lalaport_tokyo_bay,2021-10-09,2296.0,374491,118,68,5507.220588235
128,jeanasis,lalaport_tokyo_bay,2021-10-09,803.0,389385,64,41,9497.195121951
129,rageblue,lalaport_tokyo_bay,2021-10-09,1160.0,553875,117,67,8266.791044776
130,pageboy,lalaport_tokyo_bay,2021-10-09,2620.0,312210,70,48,6504.375
131,lowrys_farm,lalaport_tokyo_bay,2021-10-09,755.0,640281,176,112,5716.794642857
132,hare,lalaport_tokyo_bay,2021-10-09,3131.0,316800,36,24,13200.0
133,lepsim,lalaport_tokyo_bay,2021-10-09,1844.0,280360,84,56,5006.428571429
134,heather,lalaport_tokyo_bay,2021-10-09,1367.0,403535,87,52,7760.288461538
135,lakole,lalaport_tokyo_bay,2021-10-10,1875.0,1161770,967,359,3236.128133705
136,global_work,lalaport_tokyo_bay,2021-10-10,728.0,1747767,533,305,5730.383606557
137,repipi_armario,lalaport_tokyo_bay,2021-10-10,1497.0,792647,375,129,6144.550387597
138,niko_and,lalaport_tokyo_bay,2021-10-10,2255.0,2114323,625,393,5379.956743003
139,lowrys_farm,lalaport_tokyo_bay,2021-10-10,755.0,768425,188,123,6247.357723577
140,pageboy,lalaport_tokyo_bay,2021-10-10,2620.0,379130,74,54,7020.925925926
141,bayflow,lalaport_tokyo_bay,2021-10-10,2469.0,1251190,282,163,7676.012269939
142,.st,lalaport_tokyo_bay,2021-10-10,9092.0,609645,111,76,8021.644736842
143,rageblue,lalaport_tokyo_bay,2021-10-10,1160.0,574825,133,69,8330.797101449
144,lepsim,lalaport_tokyo_bay,2021-10-10,1844.0,321950,91,67,4805.223880597
145,elura,lalaport_tokyo_bay,2021-10-10,8708.0,113620,21,16,7101.25
146,jeanasis,lalaport_tokyo_bay,2021-10-10,803.0,435930,75,47,9275.106382979
147,studio_clip,lalaport_tokyo_bay,2021-10-10,2296.0,293666,102,64,4588.53125
148,heather,lalaport_tokyo_bay,2021-10-10,1367.0,312424,67,47,6647.319148936
149,hare,lalaport_tokyo_bay,2021-10-10,3131.0,403350,47,25,16134.0
150,lakole,lalaport_tokyo_bay,2021-10-11,1875.0,467800,398,161,2905.590062112
151,global_work,lalaport_tokyo_bay,2021-10-11,728.0,578502,190,115,5030.452173913
152,repipi_armario,lalaport_tokyo_bay,2021-10-11,1497.0,249274,124,42,5935.095238095
153,niko_and,lalaport_tokyo_bay,2021-10-11,2255.0,1007525,316,187,5387.834224599
154,rageblue,lalaport_tokyo_bay,2021-10-11,1160.0,176990,32,24,7374.583333333
155,bayflow,lalaport_tokyo_bay,2021-10-11,2469.0,455370,99,64,7115.15625
156,pageboy,lalaport_tokyo_bay,2021-10-11,2620.0,317802,66,42,7566.714285714
157,lowrys_farm,lalaport_tokyo_bay,2021-10-11,755.0,399287,103,68,5871.867647059
158,.st,lalaport_tokyo_bay,2021-10-11,9092.0,252750,45,34,7433.823529412
159,lepsim,lalaport_tokyo_bay,2021-10-11,1844.0,152065,44,31,4905.322580645
160,heather,lalaport_tokyo_bay,2021-10-11,1367.0,166942,34,20,8347.1
161,hare,lalaport_tokyo_bay,2021-10-11,3131.0,88900,13,12,7408.333333333
162,studio_clip,lalaport_tokyo_bay,2021-10-11,2296.0,138194,55,45,3070.977777778
163,jeanasis,lalaport_tokyo_bay,2021-10-11,803.0,193750,33,19,10197.368421053
164,elura,lalaport_tokyo_bay,2021-10-11,8708.0,60810,11,8,7601.25
165,lakole,lalaport_tokyo_bay,2021-10-12,1875.0,478170,287,139,3440.071942446
166,global_work,lalaport_tokyo_bay,2021-10-12,728.0,675075,212,134,5037.873134328
167,repipi_armario,lalaport_tokyo_bay,2021-10-12,1497.0,134537,84,38,3540.447368421
168,niko_and,lalaport_tokyo_bay,2021-10-12,2255.0,908202,262,173,5249.722543353
169,pageboy,lalaport_tokyo_bay,2021-10-12,2620.0,250825,57,40,6270.625
170,rageblue,lalaport_tokyo_bay,2021-10-12,1160.0,226819,48,28,8100.678571429
171,bayflow,lalaport_tokyo_bay,2021-10-12,2469.0,581310,132,65,8943.230769231
172,.st,lalaport_tokyo_bay,2021-10-12,9092.0,258920,51,38,6813.684210526
173,heather,lalaport_tokyo_bay,2021-10-12,1367.0,121917,26,14,8708.357142857
174,lowrys_farm,lalaport_tokyo_bay,2021-10-12,755.0,310555,85,61,5091.06557377
175,studio_clip,lalaport_tokyo_bay,2021-10-12,2296.0,98853,34,27,3661.222222222
176,lepsim,lalaport_tokyo_bay,2021-10-12,1844.0,155695,44,26,5988.269230769
177,jeanasis,lalaport_tokyo_bay,2021-10-12,803.0,251190,43,25,10047.6
178,hare,lalaport_tokyo_bay,2021-10-12,3131.0,165150,19,15,11010.0
179,elura,lalaport_tokyo_bay,2021-10-12,8708.0,26430,5,4,6607.5
180,lakole,lalaport_tokyo_bay,2021-10-13,1875.0,542390,449,189,2869.788359788
181,global_work,lalaport_tokyo_bay,2021-10-13,728.0,793367,238,143,5548.020979021
182,niko_and,lalaport_tokyo_bay,2021-10-13,2255.0,1048917,305,196,5351.617346939
183,repipi_armario,lalaport_tokyo_bay,2021-10-13,1497.0,165107,83,26,6350.269230769
184,pageboy,lalaport_tokyo_bay,2021-10-13,2620.0,219925,43,27,8145.37037037
185,bayflow,lalaport_tokyo_bay,2021-10-13,2469.0,742360,173,101,7350.099009901
186,lowrys_farm,lalaport_tokyo_bay,2021-10-13,755.0,306025,83,60,5100.416666667
187,heather,lalaport_tokyo_bay,2021-10-13,1367.0,225375,53,28,8049.107142857
188,lepsim,lalaport_tokyo_bay,2021-10-13,1844.0,182760,47,33,5538.181818182
189,studio_clip,lalaport_tokyo_bay,2021-10-13,2296.0,208740,83,51,4092.941176471
190,jeanasis,lalaport_tokyo_bay,2021-10-13,803.0,207680,35,22,9440.0
191,hare,lalaport_tokyo_bay,2021-10-13,3131.0,123700,14,12,10308.333333333
192,.st,lalaport_tokyo_bay,2021-10-13,9092.0,121510,21,18,6750.555555556
193,rageblue,lalaport_tokyo_bay,2021-10-13,1160.0,198277,40,28,7081.321428571
194,elura,lalaport_tokyo_bay,2021-10-13,8708.0,81140,15,12,6761.666666667
195,lakole,lalaport_tokyo_bay,2021-10-14,1875.0,507045,335,164,3091.737804878
196,repipi_armario,lalaport_tokyo_bay,2021-10-14,1497.0,137706,69,30,4590.2
197,niko_and,lalaport_tokyo_bay,2021-10-14,2255.0,813623,213,150,5424.153333333
198,bayflow,lalaport_tokyo_bay,2021-10-14,2469.0,496730,115,75,6623.066666667
199,.st,lalaport_tokyo_bay,2021-10-14,9092.0,228290,50,36,6341.388888889
200,lowrys_farm,lalaport_tokyo_bay,2021-10-14,755.0,347075,86,63,5509.126984127
201,global_work,lalaport_tokyo_bay,2021-10-14,728.0,695232,217,122,5698.62295082
202,pageboy,lalaport_tokyo_bay,2021-10-14,2620.0,119465,32,18,6636.944444444
203,rageblue,lalaport_tokyo_bay,2021-10-14,1160.0,225055,47,26,8655.961538462
204,studio_clip,lalaport_tokyo_bay,2021-10-14,2296.0,230777,96,57,4048.719298246
205,jeanasis,lalaport_tokyo_bay,2021-10-14,803.0,326900,55,40,8172.5
206,heather,lalaport_tokyo_bay,2021-10-14,1367.0,169425,35,24,7059.375
207,lepsim,lalaport_tokyo_bay,2021-10-14,1844.0,167260,50,36,4646.111111111
208,elura,lalaport_tokyo_bay,2021-10-14,8708.0,85548,17,10,8554.8
209,hare,lalaport_tokyo_bay,2021-10-14,3131.0,44850,7,7,6407.142857143
210,niko_and,lalaport_tokyo_bay,2021-10-15,2255.0,1091874,294,190,5746.705263158
211,lakole,lalaport_tokyo_bay,2021-10-15,1875.0,439090,366,153,2869.869281046
212,repipi_armario,lalaport_tokyo_bay,2021-10-15,1497.0,210730,103,30,7024.333333333
213,bayflow,lalaport_tokyo_bay,2021-10-15,2469.0,476980,118,70,6814.0
214,global_work,lalaport_tokyo_bay,2021-10-15,728.0,832530,248,150,5550.2
215,lowrys_farm,lalaport_tokyo_bay,2021-10-15,755.0,416022,114,66,6303.363636364
216,.st,lalaport_tokyo_bay,2021-10-15,9092.0,193750,37,30,6458.333333333
217,rageblue,lalaport_tokyo_bay,2021-10-15,1160.0,279492,59,38,7355.052631579
218,pageboy,lalaport_tokyo_bay,2021-10-15,2620.0,169765,35,26,6529.423076923
219,lepsim,lalaport_tokyo_bay,2021-10-15,1844.0,185502,53,31,5983.935483871
220,heather,lalaport_tokyo_bay,2021-10-15,1367.0,247025,46,29,8518.103448276
221,studio_clip,lalaport_tokyo_bay,2021-10-15,2296.0,227328,80,48,4736.0
222,hare,lalaport_tokyo_bay,2021-10-15,3131.0,215450,25,17,12673.529411765
223,elura,lalaport_tokyo_bay,2021-10-15,8708.0,82820,18,9,9202.222222222
224,jeanasis,lalaport_tokyo_bay,2021-10-15,803.0,213570,35,25,8542.8
225,lakole,lalaport_tokyo_bay,2021-10-16,1875.0,1095595,793,328,3340.228658537
226,global_work,lalaport_tokyo_bay,2021-10-16,728.0,1736403,520,285,6092.642105263
227,bayflow,lalaport_tokyo_bay,2021-10-16,2469.0,918620,217,124,7408.225806452
228,studio_clip,lalaport_tokyo_bay,2021-10-16,2296.0,426728,142,77,5541.922077922
229,niko_and,lalaport_tokyo_bay,2021-10-16,2255.0,1733485,499,343,5053.89212828
230,pageboy,lalaport_tokyo_bay,2021-10-16,2620.0,435287,97,64,6801.359375
231,rageblue,lalaport_tokyo_bay,2021-10-16,1160.0,626164,130,66,9487.333333333
232,.st,lalaport_tokyo_bay,2021-10-16,9092.0,400810,84,63,6362.063492063
233,repipi_armario,lalaport_tokyo_bay,2021-10-16,1497.0,816617,358,111,7356.90990991
234,lepsim,lalaport_tokyo_bay,2021-10-16,1844.0,297540,83,61,4877.704918033
235,jeanasis,lalaport_tokyo_bay,2021-10-16,803.0,437825,71,45,9729.444444444
236,lowrys_farm,lalaport_tokyo_bay,2021-10-16,755.0,543825,138,93,5847.580645161
237,hare,lalaport_tokyo_bay,2021-10-16,3131.0,206630,28,26,7947.307692308
238,heather,lalaport_tokyo_bay,2021-10-16,1367.0,313640,60,39,8042.051282051
239,elura,lalaport_tokyo_bay,2021-10-16,8708.0,101290,16,12,8440.833333333
240,repipi_armario,lalaport_tokyo_bay,2021-10-17,1497.0,1039081,510,181,5740.779005525
241,lakole,lalaport_tokyo_bay,2021-10-17,1875.0,1126710,804,338,3333.461538462
242,global_work,lalaport_tokyo_bay,2021-10-17,728.0,2061499,627,336,6135.413690476
243,lepsim,lalaport_tokyo_bay,2021-10-17,1844.0,362690,105,69,5256.376811594
244,niko_and,lalaport_tokyo_bay,2021-10-17,2255.0,1992174,501,350,5691.925714286
245,pageboy,lalaport_tokyo_bay,2021-10-17,2620.0,446010,99,59,7559.491525424
246,rageblue,lalaport_tokyo_bay,2021-10-17,1160.0,742477,159,99,7499.767676768
247,elura,lalaport_tokyo_bay,2021-10-17,8708.0,213030,39,20,10651.5
248,bayflow,lalaport_tokyo_bay,2021-10-17,2469.0,1267800,295,177,7162.711864407
249,.st,lalaport_tokyo_bay,2021-10-17,9092.0,678510,115,93,7295.806451613
250,lowrys_farm,lalaport_tokyo_bay,2021-10-17,755.0,741117,187,128,5789.9765625
251,heather,lalaport_tokyo_bay,2021-10-17,1367.0,363925,72,50,7278.5
252,studio_clip,lalaport_tokyo_bay,2021-10-17,2296.0,236021,86,65,3631.092307692
253,jeanasis,lalaport_tokyo_bay,2021-10-17,803.0,642460,105,63,10197.777777778
254,hare,lalaport_tokyo_bay,2021-10-17,3131.0,357940,42,36,9942.777777778
255,lakole,lalaport_tokyo_bay,2021-10-18,1875.0,523340,339,164,3191.097560976
256,repipi_armario,lalaport_tokyo_bay,2021-10-18,1497.0,268506,129,51,5264.823529412
257,rageblue,lalaport_tokyo_bay,2021-10-18,1160.0,337885,71,32,10558.90625
258,niko_and,lalaport_tokyo_bay,2021-10-18,2255.0,1093845,293,188,5818.324468085
259,global_work,lalaport_tokyo_bay,2021-10-18,728.0,819790,237,141,5814.113475177
260,elura,lalaport_tokyo_bay,2021-10-18,8708.0,114580,22,12,9548.333333333
261,.st,lalaport_tokyo_bay,2021-10-18,9092.0,199850,36,31,6446.774193548
262,pageboy,lalaport_tokyo_bay,2021-10-18,2620.0,197612,40,28,7057.571428571
263,lepsim,lalaport_tokyo_bay,2021-10-18,1844.0,250555,70,44,5694.431818182
264,bayflow,lalaport_tokyo_bay,2021-10-18,2469.0,409960,92,59,6948.474576271
265,lowrys_farm,lalaport_tokyo_bay,2021-10-18,755.0,353285,91,56,6308.660714286
266,studio_clip,lalaport_tokyo_bay,2021-10-18,2296.0,134351,48,32,4198.46875
267,jeanasis,lalaport_tokyo_bay,2021-10-18,803.0,197875,31,24,8244.791666667
268,hare,lalaport_tokyo_bay,2021-10-18,3131.0,173700,16,11,15790.909090909
269,heather,lalaport_tokyo_bay,2021-10-18,1367.0,130602,29,19,6873.789473684
270,lakole,lalaport_tokyo_bay,2021-10-19,1875.0,590570,438,205,2880.829268293
271,global_work,lalaport_tokyo_bay,2021-10-19,728.0,910397,284,157,5798.707006369
272,rageblue,lalaport_tokyo_bay,2021-10-19,1160.0,254657,57,30,8488.566666667
273,.st,lalaport_tokyo_bay,2021-10-19,9092.0,213900,42,31,6900.0
274,niko_and,lalaport_tokyo_bay,2021-10-19,2255.0,1045288,297,172,6077.255813953
275,lowrys_farm,lalaport_tokyo_bay,2021-10-19,755.0,275275,68,46,5984.239130435
276,pageboy,lalaport_tokyo_bay,2021-10-19,2620.0,272285,54,35,7779.571428571
277,bayflow,lalaport_tokyo_bay,2021-10-19,2469.0,620240,133,82,7563.902439024
278,jeanasis,lalaport_tokyo_bay,2021-10-19,803.0,287350,45,30,9578.333333333
279,lepsim,lalaport_tokyo_bay,2021-10-19,1844.0,242102,70,46,5263.086956522
280,hare,lalaport_tokyo_bay,2021-10-19,3131.0,198700,22,13,15284.615384615
281,repipi_armario,lalaport_tokyo_bay,2021-10-19,1497.0,165790,74,27,6140.37037037
282,studio_clip,lalaport_tokyo_bay,2021-10-19,2296.0,169666,75,43,3945.720930233
283,heather,lalaport_tokyo_bay,2021-10-19,1367.0,138651,27,21,6602.428571429
284,elura,lalaport_tokyo_bay,2021-10-19,8708.0,23420,4,4,5855.0
285,lakole,lalaport_tokyo_bay,2021-10-20,1875.0,686730,471,186,3692.096774194
286,niko_and,lalaport_tokyo_bay,2021-10-20,2255.0,1129277,301,195,5791.164102564
287,global_work,lalaport_tokyo_bay,2021-10-20,728.0,1068807,320,173,6178.075144509
288,pageboy,lalaport_tokyo_bay,2021-10-20,2620.0,330955,70,45,7354.555555556
289,bayflow,lalaport_tokyo_bay,2021-10-20,2469.0,738360,153,100,7383.6
290,elura,lalaport_tokyo_bay,2021-10-20,8708.0,170500,31,19,8973.684210526
291,studio_clip,lalaport_tokyo_bay,2021-10-20,2296.0,272577,93,48,5678.6875
292,.st,lalaport_tokyo_bay,2021-10-20,9092.0,214190,42,30,7139.666666667
293,lepsim,lalaport_tokyo_bay,2021-10-20,1844.0,317481,80,54,5879.277777778
294,rageblue,lalaport_tokyo_bay,2021-10-20,1160.0,263247,56,33,7977.181818182
295,lowrys_farm,lalaport_tokyo_bay,2021-10-20,755.0,351522,91,59,5958.0
296,hare,lalaport_tokyo_bay,2021-10-20,3131.0,146600,16,11,13327.272727273
297,heather,lalaport_tokyo_bay,2021-10-20,1367.0,157034,35,19,8264.947368421
298,jeanasis,lalaport_tokyo_bay,2021-10-20,803.0,326720,48,34,9609.411764706
299,repipi_armario,lalaport_tokyo_bay,2021-10-20,1497.0,144581,54,21,6884.80952381
300,repipi_armario,lalaport_tokyo_bay,2021-10-21,1497.0,94063,42,20,4703.15
301,lakole,lalaport_tokyo_bay,2021-10-21,1875.0,559750,375,178,3144.662921348
302,bayflow,lalaport_tokyo_bay,2021-10-21,2469.0,615420,155,92,6689.347826087
303,niko_and,lalaport_tokyo_bay,2021-10-21,2255.0,1158939,298,199,5823.814070352
304,elura,lalaport_tokyo_bay,2021-10-21,8708.0,67820,14,11,6165.454545455
305,global_work,lalaport_tokyo_bay,2021-10-21,728.0,833739,236,146,5710.54109589
306,jeanasis,lalaport_tokyo_bay,2021-10-21,803.0,197955,28,20,9897.75
